company,account,amount,date,units,fund,,,,,,,,,A Share,,Units of Bod,Value of Exchange,,Total Mid A Units,,GN_PY_UNTS,GN_NW_UNTS,GN_TR_UNTS,GN_DT_UNTS,
VIR,5803321,0,3/11/2011,-3319.782,gn,,,,,,,,,,,11602.12472,-56270.3049,,8299.455,,8299.455,0,0,0,
VIR,5612590,0,3/11/2011,-88.4288,gn,,,,,,,,,,,309.0449814,-1498.86816,,221.072,,221.072,0,0,0,
VIR,5481242,0,3/11/2011,-731.1916,gn,,,,,,,,,,,2555.401571,-12393.69762,,1827.979,,1855.262,-27.283,0,0,
VIR,5659981,0,3/11/2011,-1492.5956,gn,,,,,,,,,,,5216.390808,-25299.49542,,3731.489,,3731.489,0,0,0,
VIR,5666271,0,3/11/2011,-559.2292,gn,,,,,,,,,,,1954.419575,-9478.93494,,1398.073,,1398.073,0,0,0,
VIR,5808991,0,3/11/2011,-522.9344,gn,,,,,,,,,,,1827.574862,-8863.73808,,1307.336,,1307.336,0,0,0,
VIR,5664073,0,3/11/2011,-47.5796,gn,,,,,,,,,,,166.2833443,-806.47422,,118.949,,118.949,0,0,0,
VIR,5805380,0,3/11/2011,-74.8124,gn,,,,,,,,,,,261.4577691,-1268.07018,,187.031,,187.031,0,0,0,
VIR,5667082,0,3/11/2011,-34.2588,gn,,,,,,,,,,,119.7292082,-580.68666,,85.647,,74.446,11.201,0,0,
VIR,5672564,0,3/11/2011,-327.3836,gn,,,,,,,,,,,1144.155056,-5549.15202,,818.459,,544.186,274.273,0,0,
VIR,5560516,0,3/11/2011,-31.8456,gn,,,,,,,,,,,111.2954474,-539.78292,,79.614,,79.614,0,0,0,
VIR,5611121,0,3/11/2011,-709.2988,gn,,,,,,,,,,,2478.889621,-12022.61466,,1773.247,,1773.247,0,0,0,
VIR,5679490,0,3/11/2011,-72.629,gn,,,,,,,,,,,253.8271237,-1231.06155,,173.322,,167.7,5.622,0,0,
VIR,5679498,0,3/11/2011,-72.629,gn,,,,,,,,,,,253.8271237,-1231.06155,,173.322,,167.7,5.622,0,0,
VIR,5665133,0,3/11/2011,-75.428,gn,,,,,,,,,,,263.6091959,-1278.5046,,182.433,,182.433,0,0,0,
VIR,5665127,0,3/11/2011,-75.426,gn,,,,,,,,,,,263.6022062,-1278.4707,,182.429,,182.429,0,0,0,
VIR,5803879,0,3/11/2011,-48.1636,gn,,,,,,,,,,,168.324334,-816.37302,,120.409,,114.904,5.505,0,0,
VIR,5805739,0,3/11/2011,-551.7676,gn,,,,,,,,,,,1928.342437,-9352.46082,,1379.419,,1379.419,0,0,0,
VIR,5664178,0,3/11/2011,-208.8188,gn,,,,,,,,,,,729.7894144,-3539.47866,,522.047,,522.047,0,0,0,
VIR,5666740,0,3/11/2011,-29.2456,gn,,,,,,,,,,,102.2088495,-495.71292,,73.114,,73.114,0,0,0,
VIR,5565677,0,3/11/2011,-72.085,gn,,,,,,,,,,,251.9259278,-1221.84075,,162.408,,162.408,0,0,0,
VIR,5626776,0,3/11/2011,-235.605,gn,,,,,,,,,,,823.4030412,-3993.50475,,589.012,,589.012,0,0,0,
VIR,5807847,0,3/11/2011,-619.465,gn,,,,,,,,,,,2164.934381,-10499.93175,,1548.654,,1548.654,0,0,0,
VIR,5805829,0,3/11/2011,-616.4764,gn,,,,,,,,,,,2154.489687,-10449.27498,,1541.191,,1541.191,0,0,0,
VIR,5560512,0,3/11/2011,-113.586,gn,,,,,,,,,,,396.9655052,-1925.2827,,274.044,,288.728,-14.684,0,0,
